;;;"HAZ TU PEDIDO Y ""CRECE CON NOSOTROS""";;;;;;;;
;;;;;;;;;;;
000000001664;;CASE COOLER MASTER N200 MINI TOWER CA-200KKN1 (1 FAN COOLER);;CA-200KKN1;;135,17;;N/A;;;
000000001622;;CASE COOLER MASTER TD300 MESH CA-TD300KG (2 FAN COOLER);;CA-TD300KG;;185,00;;N/A;;;
000000001623;;CASE COOLER MASTER TD300 MESH CA-TD300WG BLANCO;;CA-TD300WG;;185,00;;N/A;;;
000000001160;;CASE CORSAIR 280X WT-136-BD CC-9011136-WW (2 FAN COOLER);;CC-9011136-WW;;184,08;;N/A;;;
000000001290;;CASE DELUXE G505 (SIN FUENTE);;G505;;55,00;;N/A;;;
000000000884;;CASE GAMING CHEKPOINT CP-400 RGB;;CP-400;;45,87;;N/A;;;
;;;;;;;;;;;
NOTA: PRECIOS VALIDOS SOLO POR 24 HORAS, LOS MISMOS PUEDEN VARIAR SIN VENTAS AL MAYOR , NO SE DEVUELVE DINERO UNA VEZ REALIZADA LA COMPRA;;;;;;;;;;;
;;;;;;;;;;;
GReport 1.1.3;;;;;;;;;;Página 10/29;
;;;;;;;;;;;
;;;"HAZ TU PEDIDO Y ""CRECE CON NOSOTROS""";;;;;;;;
;;;;;;;;;;;
;;;;;;;;;FECHA: 08/05/2023;;
;;;;;;;;;;;
;;;;;;;;;;;
CODIGO;;DESCRIPCION;;MODELO;;PRECIO;;GARANTIA;;;
000000001613;;CASE GAMING CHEKPOINT CP-800 RGB E-ATX;;CP-800;;62,62;;N/A;;;
000000001612;;CASE GAMING CHEKPOINT CP-850 RGB E-ATX;;CP-850;;64,07;;N/A;;;
000000001616;;"CASE GAMING THERMALTAKE DIVIDER 370TG ARGB CA-D370TGK (2 FAN
COOLER)";;CA-D370TGK;;198,92;;S/G;;;
000000001064;;CASE K03 CON FUENTE 400W 4PIN LED;;K03;;45,99;;48 HORAS (FUENTE);;;
000000001293;;CASE K09 CON FUENTE 500W 12CM 20+4PIN;;K09;;49,45;;S/G;;;
000000001285;;CASE K11 SIN FUENTE 600W 12CM 20+4PIN;;K11;;55,00;;N/A;;;
000000001626;;CASE LIAN LI 011DYNAMIC NEGRO CS-PCO11DX;;CS-PCO11DX;;236,51;;N/A;;;
000000001621;;"CASE THERMALTAKE H SERIE H700TGK MDT CA-H700TGK (1 FAN
COOLER)";;CA-H700TGK;;158,32;;N/A;;;
000000001663;;CASE THERMALTAKE VERSA H21 NEGRO CA-B2M1NN (1 FAN COOLER);;CA-B2M1NN;;104,37;;N/A;;;
000000001617;;CASE THERMALTAKE VIEW 300MX CA-V300MXK (2 FAN COOLER);;CA-V300MXK;;249,99;;N/A;;;
000000000314;;CASE VARIOS CON FUENTE LP36 / LP22;;CASE CON FUENTE;;51,81;;N/A;;;
COMPUTADOR NUEVO;;;;;;;;;;;
000000000783;;ALL IN ONE HP 205 AMD ATHLON G4 4GB DDR4 1TB HDD FREDOS 22´;;205;;286,45;;12 MESES;;;
;;;;;;;;;;;
NOTA: PRECIOS VALIDOS SOLO POR 24 HORAS, LOS MISMOS PUEDEN VARIAR SIN VENTAS AL MAYOR , NO SE DEVUELVE DINERO UNA VEZ REALIZADA LA COMPRA;;;;;;;;;;;
;;;;;;;;;;;
GReport 1.1.3;;;;;;;;;;Página 11/29;
;;;;;;;;;;;
;;;"HAZ TU PEDIDO Y ""CRECE CON NOSOTROS""";;;;;;;;
;;;;;;;;;;;
;;;;;;;;;FECHA: 08/05/2023;;
;;;;;;;;;;;
;;;;;;;;;;;
CODIGO;;DESCRIPCION;;MODELO;;PRECIO;;GARANTIA;;;
000000000861;;COMPUTADOR CLON NUEVO I5 4GEN 4GB 120GB SSD;;I5/4GB/120SSD;;138,32;;6 MESES;;;
000000001660;;"COMPUTADOR DELL INSPIRON 3910 BLU CORE I5-12400 1TB+256GB SSD
12GB UHD GRAPHICS DVDRW WIFI W11";;I3910-BLU;;706,49;;12 MESES;;;
000000001662;;"COMPUTADOR LENOVO THINK M90S SFF CORE I5-10500 256GB SSD 8GB
DVDRW W10";;M90S;;564,93;;12 MESES;;;
COMPUTADOR REFURBISH;;;;;;;;;;;
000000000040;;COMPUTADOR DELL I3 6GEN 4GB SIN DISCO SLIM SFF REFURBISHES;;I3 6GEN 4GB SSD 120;;80,00;;3 MESES;;;
000000000592;;COMPUTADOR DELL I5 6GEN 8GB SSD120GB SLIM SFF REFUBISHED;;I5 6GEN 120SSD 8GB;;148,35;;3 MESES;;;
000000000737;;COMPUTADOR DELL I7 4GEN 4GB 160/320/500GB SLIM REFURBISHED;;I7 4GEN 4GB 160GB;;129,00;;3 MESES;;;
000000000669;;COMPUTADOR DELL MINI I5 7GEN 8GB HDD250 / 500GB REFURBISH SLIM;;I5 7GEN 4GB 250GB;;146,00;;3 MESES;;;
000000001587;;"COMPUTADOR DELL MINI I5 7GEN 8GB SSD 256GB REFURBISHES SLIM
USFF";;I5 6GEN 8GB SSD256GB;;150,00;;3 MESES;;;
000000001707;;"COMPUTADOR DELL MINI I5 9GEN 4GB SSD256GB M.2 SLIM USFF
REFURBHISED";;I5 9GEN 4GB 256SSD;;214,99;;3 MESES;;;
000000001517;;COMPUTADOR DELL OPTIPLEX7040 MINI I5 6TA 8GB M.2 256GB SSD;;OPTIPLEX7040 MINI I5;;185,00;;3 MESES;;;
000000000890;;"COMPUTADOR HP AMD A6 PRO 7400B 4GB 160/250/320/500GB SLIM
REFURBISHED";;ADM A6 PRO 7400B;;120,00;;3 MESES;;;
000000000005;;COMPUTADOR HP ATHLON 3GEN 250/320/500GB SLIM REFURBISHED;;HP ATLON 3GEN 3GB;;99,00;;3 MESES;;;
;;;;;;;;;;;
NOTA: PRECIOS VALIDOS SOLO POR 24 HORAS, LOS MISMOS PUEDEN VARIAR SIN VENTAS AL MAYOR , NO SE DEVUELVE DINERO UNA VEZ REALIZADA LA COMPRA;;;;;;;;;;;
;;;;;;;;;;;
GReport 1.1.3;;;;;;;;;;Página 12/29;
;;;;;;;;;;;
;;;"HAZ TU PEDIDO Y ""CRECE CON NOSOTROS""";;;;;;;;
;;;;;;;;;;;
;;;;;;;;;FECHA: 08/05/2023;;
;;;;;;;;;;;
;;;;;;;;;;;
CODIGO;;DESCRIPCION;;MODELO;;PRECIO;;GARANTIA;;;
000000001078;;COMPUTADOR HP I5 4GEN 8GB 320/500GB SLIM REFURBISHED;;I5 4GEN 4GB 160GB;;115,00;;3 MESES;;;
